total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
99,0.5804527,0.55686635,"[16, 83]","[56, 43]",83
55,0.63092785,0.5926487,"[10, 45]","[55, 0]",45
261,0.4353846,0.43157015,"[39, 222]","[60, 201]",222
483,0.2747745,0.2746218,"[73, 410]","[67, 416]",416
66,0.61588975,0.5836347,"[12, 54]","[56, 10]",54
502,0.26241905,0.2620147,"[77, 425]","[69, 433]",433
326,0.3851361,0.3839469,"[49, 277]","[63, 263]",277
115,0.562797,0.54406385,"[19, 96]","[57, 58]",96
476,0.2794222,0.27930835,"[72, 404]","[67, 409]",409
212,0.4754402,0.4684502,"[32, 180]","[59, 153]",180
318,0.39134115,0.3897459,"[47, 271]","[61, 257]",271
482,0.2754492,0.27529205,"[73, 409]","[67, 415]",415
333,0.37992375,0.3788969,"[50, 283]","[63, 270]",283
312,0.3956748,0.3940988,"[47, 265]","[61, 251]",265
283,0.41815845,0.4153199,"[42, 241]","[60, 223]",241
474,0.2807736,0.28064885,"[72, 402]","[67, 407]",407
393,0.3363854,0.3362141,"[59, 334]","[65, 328]",334
342,0.373315,0.37239605,"[51, 291]","[62, 280]",291
413,0.32236905,0.32231095,"[62, 351]","[65, 348]",351
213,0.4740698,0.46768275,"[33, 180]","[59, 154]",180
456,0.2928505,0.2928122,"[69, 387]","[67, 389]",389
188,0.49563685,0.486869,"[29, 159]","[58, 130]",159
244,0.44880105,0.4442895,"[37, 207]","[60, 184]",207
26,0.6796428,0.6260205,"[5, 21]","[26, 0]",21
243,0.4495406,0.44503485,"[37, 206]","[60, 183]",206
285,0.4163739,0.41384575,"[43, 242]","[61, 224]",242
457,0.29217125,0.2921338,"[69, 388]","[67, 390]",390
100,0.577813,0.55606695,"[17, 83]","[56, 44]",83
334,0.37920185,0.3781714,"[50, 284]","[61, 273]",284
300,0.40486645,0.40284235,"[45, 255]","[62, 238]",255
337,0.3770603,0.375992,"[50, 287]","[62, 275]",287
500,0.2636604,0.26333785,"[76, 424]","[68, 432]",432
50,0.63864295,0.5969441,"[9, 41]","[50, 0]",41
506,0.25976625,0.25938985,"[77, 429]","[69, 437]",437
64,0.62043275,0.5852624,"[11, 53]","[56, 8]",53
354,0.3644864,0.36381625,"[53, 301]","[64, 290]",301
107,0.5706185,0.5504512,"[18, 89]","[56, 51]",89
368,0.35430955,0.35386785000000004,"[55, 313]","[64, 304]",313
218,0.4703098,0.463896,"[33, 185]","[60, 158]",185
418,0.3189047,0.3188494,"[63, 355]","[65, 353]",355
167,0.51415495,0.5031255,"[26, 141]","[57, 110]",141
22,0.68289085,0.63336165,"[5, 17]","[22, 0]",17
305,0.4009813,0.3991945,"[46, 259]","[61, 244]",259
89,0.59032135,0.56491115,"[15, 74]","[56, 33]",74
116,0.562007,0.5432611,"[19, 97]","[56, 60]",97
236,0.4552201,0.45032195,"[36, 200]","[59, 177]",200
495,0.2669083,0.2666479,"[75, 420]","[67, 428]",428
135,0.54311525,0.52820945,"[22, 113]","[56, 79]",113
446,0.29962105,0.29961465,"[67, 379]","[66, 380]",380
60,0.6236311,0.5885359,"[11, 49]","[56, 4]",49
109,0.56906505,0.5488525,"[18, 91]","[56, 53]",91
378,0.34712315,0.34679545,"[56, 322]","[64, 314]",322
6,0.7314432,0.6891703,"[2, 4]","[6, 0]",4
200,0.4851735,0.4776286,"[31, 169]","[60, 140]",169
415,0.3209844,0.32092995,"[62, 353]","[65, 350]",353
48,0.64023965,0.59876805,"[9, 39]","[48, 0]",39
294,0.40950065,0.4072402,"[44, 250]","[61, 233]",250
392,0.33708835,0.33691695,"[59, 333]","[64, 328]",333
240,0.4522535,0.44729615,"[36, 204]","[60, 180]",204
128,0.54983955,0.5337245,"[21, 107]","[56, 72]",107
79,0.60045055,0.5730322,"[14, 65]","[56, 23]",65
322,0.38821035,0.386841,"[48, 274]","[61, 261]",274
504,0.26110215,0.2607013,"[77, 427]","[69, 435]",435
