rebalance_strategy,slab_count,request_id,distance_to_optimal_allocation
marginal-hits,64,28250000,5
marginal-hits,64,28300000,6
marginal-hits,64,28350000,5
marginal-hits,64,28400000,5
marginal-hits,64,28450000,5
marginal-hits,64,28500000,4
marginal-hits,64,28550000,4
marginal-hits,64,28600000,5
marginal-hits,64,28650000,5
marginal-hits,64,28700000,5
marginal-hits,64,28750000,6
marginal-hits,64,28800000,6
marginal-hits,64,28850000,6
marginal-hits,64,28900000,6
marginal-hits,64,28950000,5
marginal-hits,64,29000000,4
marginal-hits,64,29050000,3
marginal-hits,64,29100000,4
marginal-hits,64,29150000,4
marginal-hits,64,29200000,5
marginal-hits,64,29250000,5
marginal-hits,64,29300000,4
marginal-hits,64,29350000,4
marginal-hits,64,29400000,4
marginal-hits,64,29450000,3
marginal-hits,64,29500000,3
marginal-hits,64,29550000,2
marginal-hits,64,29600000,3
marginal-hits,64,29650000,4
marginal-hits,64,29700000,5
marginal-hits,64,29750000,6
marginal-hits,64,29800000,5
marginal-hits,64,29850000,5
marginal-hits,64,29900000,4
marginal-hits,64,29950000,4
marginal-hits,64,30000000,4
marginal-hits,64,30050000,3
marginal-hits,64,30100000,4
marginal-hits,64,30150000,5
marginal-hits,64,30200000,5
marginal-hits,64,30250000,5
marginal-hits,64,30300000,5
marginal-hits,64,30350000,4
marginal-hits,64,30400000,5
marginal-hits,64,30450000,4
marginal-hits,64,30500000,5
marginal-hits,64,30550000,6
marginal-hits,64,30600000,6
marginal-hits,64,30650000,5
marginal-hits,64,30700000,5
marginal-hits,64,30750000,6
marginal-hits,64,30800000,7
marginal-hits,64,30850000,6
marginal-hits,64,30900000,6
marginal-hits,64,30950000,7
marginal-hits,64,31000000,8
marginal-hits,64,31050000,9
marginal-hits,64,31100000,10
marginal-hits,64,31150000,9
marginal-hits,64,31200000,8
marginal-hits,64,31250000,7
marginal-hits,64,31300000,6
marginal-hits,64,31350000,5
marginal-hits,64,31400000,4
marginal-hits,64,31450000,3
marginal-hits,64,31500000,4
marginal-hits,64,31550000,3
marginal-hits,64,31600000,4
marginal-hits,64,31650000,4
marginal-hits,64,31700000,5
marginal-hits,64,31750000,5
marginal-hits,64,31800000,4
marginal-hits,64,31850000,5
marginal-hits,64,31900000,6
marginal-hits,64,31950000,5
marginal-hits,64,32000000,4
marginal-hits,64,32050000,4
marginal-hits,64,32100000,3
marginal-hits,64,32150000,3
marginal-hits,64,32200000,3
marginal-hits,64,32250000,3
marginal-hits,64,32300000,2
marginal-hits,64,32350000,3
marginal-hits,64,32400000,3
marginal-hits,64,32450000,3
marginal-hits,64,32500000,4
marginal-hits,64,32550000,4
marginal-hits,64,32600000,3
marginal-hits,64,32650000,4
marginal-hits,64,32700000,4
marginal-hits,64,32750000,3
marginal-hits,64,32800000,3
marginal-hits,64,32850000,3
marginal-hits,64,32900000,2
marginal-hits,64,32950000,3
marginal-hits,64,33000000,3
marginal-hits,64,33050000,4
marginal-hits,64,33100000,3
marginal-hits,64,33150000,2
marginal-hits,64,33200000,3
marginal-hits,64,33250000,4
