1024,2048,256,512,4096,total_slab_cnt,total_miss_ratio
98,98,98,97,98,496,0.0386708625
98,98,98,97,98,497,0.0386708625
98,98,98,97,98,498,0.0386708625
98,98,98,97,98,499,0.0386708625
98,98,98,97,98,500,0.0386708625
98,98,98,97,98,501,0.0386708625
98,98,98,97,98,502,0.0386708625
98,98,98,97,98,503,0.0386708625
98,98,98,97,98,504,0.0386708625
98,98,98,97,98,505,0.0386708625
98,98,98,97,98,506,0.0386708625
98,98,98,97,98,507,0.0386708625
98,98,98,97,98,508,0.0386708625
98,98,98,97,98,509,0.0386708625
98,98,98,97,98,510,0.0386708625
98,98,98,97,98,511,0.0386708625
98,98,98,97,98,512,0.0386708625
98,98,98,97,98,513,0.0386708625
98,98,98,97,98,514,0.0386708625
98,98,98,97,98,515,0.0386708625
98,98,98,97,98,516,0.0386708625
98,98,98,97,98,517,0.0386708625
98,98,98,97,98,518,0.0386708625
98,98,98,97,98,519,0.0386708625
98,98,98,97,98,520,0.0386708625
98,98,98,97,98,521,0.0386708625
98,98,98,97,98,522,0.0386708625
98,98,98,97,98,523,0.0386708625
98,98,98,97,98,524,0.0386708625
98,98,98,97,98,525,0.0386708625
98,98,98,97,98,526,0.0386708625
98,98,98,97,98,527,0.0386708625
98,98,98,97,98,528,0.0386708625
98,98,98,97,98,529,0.0386708625
98,98,98,97,98,530,0.0386708625
98,98,98,97,98,531,0.0386708625
98,98,98,97,98,532,0.0386708625
98,98,98,97,98,533,0.0386708625
98,98,98,97,98,534,0.0386708625
98,98,98,97,98,535,0.0386708625
98,98,98,97,98,536,0.0386708625
98,98,98,97,98,537,0.0386708625
98,98,98,97,98,538,0.0386708625
98,98,98,97,98,539,0.0386708625
98,98,98,97,98,540,0.0386708625
98,98,98,97,98,541,0.0386708625
98,98,98,97,98,542,0.0386708625
98,98,98,97,98,543,0.0386708625
98,98,98,97,98,544,0.0386708625
98,98,98,97,98,545,0.0386708625
98,98,98,97,98,546,0.0386708625
98,98,98,97,98,547,0.0386708625
98,98,98,97,98,548,0.0386708625
98,98,98,97,98,549,0.0386708625
98,98,98,97,98,550,0.0386708625
98,98,98,97,98,551,0.0386708625
98,98,98,97,98,552,0.0386708625
98,98,98,97,98,553,0.0386708625
98,98,98,97,98,554,0.0386708625
98,98,98,97,98,555,0.0386708625
98,98,98,97,98,556,0.0386708625
98,98,98,97,98,557,0.0386708625
98,98,98,97,98,558,0.0386708625
98,98,98,97,98,559,0.0386708625
98,98,98,97,98,560,0.0386708625
98,98,98,97,98,561,0.0386708625
98,98,98,97,98,562,0.0386708625
98,98,98,97,98,563,0.0386708625
98,98,98,97,98,564,0.0386708625
98,98,98,97,98,565,0.0386708625
98,98,98,97,98,566,0.0386708625
