rebalance_strategy,slab_cnt,rebalance_interval,miss_ratio,rebalanced_slabs
free-mem,256,370000,0.2734423125,0
hits,128,580000,0.4835005,43
tail-age,256,60000,0.2734423125,0
hits,256,440000,0.3369318875,64
hits,128,400000,0.48599885,43
hits,128,670000,0.48213625,43
free-mem,128,870000,0.4520975,0
marginal-hits,128,490000,0.419470525,161
free-mem,256,40000,0.2734423125,0
marginal-hits,256,820000,0.215518125,93
free-mem,128,350000,0.4520975,0
tail-age,128,510000,0.4520975,0
hits,256,730000,0.326629475,65
hits,128,300000,0.4873988375,43
hits,128,940000,0.4785603625,43
free-mem,256,970000,0.2734423125,0
free-mem,128,40000,0.4520975,0
marginal-hits,128,790000,0.4216588,99
hits,128,190000,0.4890719,43
marginal-hits,256,70000,0.1908947375,1101
tail-age,256,480000,0.2734423125,0
hits,128,450000,0.4852091625,43
tail-age,128,440000,0.4520975,0
free-mem,128,960000,0.4520975,0
free-mem,128,880000,0.4520975,0
tail-age,256,420000,0.2734423125,0
hits,256,870000,0.3201336375,64
tail-age,256,710000,0.2734423125,0
free-mem,128,280000,0.4520975,0
marginal-hits,128,100000,0.4193011875,789
marginal-hits,128,880000,0.422364225,88
marginal-hits,256,570000,0.2050516375,135
marginal-hits,256,760000,0.2128815,101
tail-age,128,610000,0.4520975,0
marginal-hits,256,180000,0.1909324625,428
tail-age,128,340000,0.4520975,0
marginal-hits,256,990000,0.2220119,77
hits,256,40000,0.3533007125,68
hits,128,770000,0.480645575,43
tail-age,256,400000,0.2734423125,0
free-mem,256,160000,0.2734423125,0
marginal-hits,256,850000,0.2168686125,90
free-mem,128,830000,0.4520975,0
marginal-hits,128,570000,0.4200428,138
hits,128,210000,0.488734175,43
free-mem,128,160000,0.4520975,0
free-mem,256,470000,0.2734423125,0
hits,256,990000,0.316349175,65
free-mem,128,100000,0.4520975,0
marginal-hits,256,360000,0.1968396375,214
free-mem,128,50000,0.4520975,0
free-mem,256,800000,0.2734423125,0
free-mem,256,150000,0.2734423125,0
free-mem,128,310000,0.4520975,0
free-mem,256,330000,0.2734423125,0
marginal-hits,128,740000,0.4212797625,106
marginal-hits,128,340000,0.418698025,232
tail-age,256,510000,0.2734423125,0
hits,256,500000,0.336628675,66
marginal-hits,128,1000000,0.422848125,78
hits,128,800000,0.480196075,43
hits,256,190000,0.344988925,64
marginal-hits,128,500000,0.419551275,157
free-mem,128,690000,0.4520975,0
marginal-hits,256,220000,0.1918017375,350
hits,256,630000,0.33045925,65
tail-age,256,970000,0.2734423125,0
tail-age,256,660000,0.2734423125,0
free-mem,128,980000,0.4520975,0
free-mem,128,450000,0.4520975,0
hits,128,880000,0.4789878375,43
hits,128,600000,0.483194425,43
free-mem,256,890000,0.2734423125,0
tail-age,256,720000,0.2734423125,0
free-mem,256,260000,0.2734423125,0
free-mem,256,950000,0.2734423125,0
tail-age,128,780000,0.4520975,0
tail-age,128,100000,0.4520975,0
hits,128,180000,0.4891467375,43
tail-age,256,980000,0.2734423125,0
free-mem,256,500000,0.2734423125,0
marginal-hits,128,280000,0.4185036125,281
marginal-hits,256,540000,0.2043068125,142
hits,256,340000,0.34200975,65
hits,256,470000,0.3371479625,65
marginal-hits,256,200000,0.191739025,384
disabled,128,5000,0.4520975,0
hits,128,980000,0.4779657,43
tail-age,128,280000,0.4520975,0
hits,128,840000,0.4795938875,43
free-mem,128,360000,0.4520975,0
marginal-hits,128,580000,0.4201180125,135
tail-age,128,520000,0.4520975,0
tail-age,256,630000,0.2734423125,0
marginal-hits,256,620000,0.2072969125,124
hits,128,100000,0.4915587625,44
marginal-hits,256,330000,0.1958765875,233
free-mem,256,200000,0.2734423125,0
free-mem,256,360000,0.2734423125,0
hits,256,820000,0.3222402375,64
free-mem,256,230000,0.2734423125,0
marginal-hits,128,70000,0.4208792875,1129
hits,256,930000,0.317594425,64
tail-age,256,320000,0.2734423125,0
hits,256,950000,0.317741175,64
free-mem,256,50000,0.2734423125,0
hits,128,10000,0.4923282375,48
tail-age,256,120000,0.2734423125,0
free-mem,128,70000,0.4520975,0
hits,128,520000,0.484395375,43
marginal-hits,128,130000,0.4186103625,608
hits,256,240000,0.346531875,66
free-mem,256,920000,0.2734423125,0
tail-age,128,890000,0.4520975,0
marginal-hits,128,350000,0.4187078625,225
free-mem,256,860000,0.2734423125,0
tail-age,256,600000,0.2734423125,0
tail-age,128,160000,0.4520975,0
tail-age,256,410000,0.2734423125,0
hits,128,90000,0.491670675,43
marginal-hits,256,240000,0.1925968375,321
tail-age,128,670000,0.4520975,0
marginal-hits,128,770000,0.421523625,101
