rebalance_strategy,slab_count,request_id,value,key,class_id
free-mem,32,1300000,1363,hits_per_slab,4
free-mem,32,1300000,1192,hits_per_slab,3
free-mem,32,1300000,224,hits_per_slab,2
free-mem,32,1300000,2718,hits_per_slab,1
free-mem,32,1300000,242,hits_per_slab,0
free-mem,32,1300000,198,marginal_hits,4
free-mem,32,1300000,320,marginal_hits,3
free-mem,32,1300000,222,marginal_hits,2
free-mem,32,1300000,827,marginal_hits,1
free-mem,32,1300000,268,marginal_hits,0
free-mem,32,1300000,1295,tail_age,4
free-mem,32,1300000,1228,tail_age,3
free-mem,32,1300000,1131,tail_age,2
free-mem,32,1300000,1388,tail_age,1
free-mem,32,1300000,1255,tail_age,0
free-mem,32,1400000,11,num_slabs,4
free-mem,32,1400000,9,num_slabs,3
free-mem,32,1400000,7,num_slabs,2
free-mem,32,1400000,3,num_slabs,1
free-mem,32,1400000,2,num_slabs,0
free-mem,32,1400000,0,free_slabs,4
free-mem,32,1400000,0,free_slabs,3
free-mem,32,1400000,0,free_slabs,2
free-mem,32,1400000,0,free_slabs,1
free-mem,32,1400000,0,free_slabs,0
free-mem,32,1400000,1352,hits_per_slab,4
free-mem,32,1400000,1189,hits_per_slab,3
free-mem,32,1400000,230,hits_per_slab,2
free-mem,32,1400000,2738,hits_per_slab,1
free-mem,32,1400000,211,hits_per_slab,0
free-mem,32,1400000,204,marginal_hits,4
free-mem,32,1400000,315,marginal_hits,3
free-mem,32,1400000,213,marginal_hits,2
free-mem,32,1400000,875,marginal_hits,1
free-mem,32,1400000,224,marginal_hits,0
free-mem,32,1400000,1281,tail_age,4
free-mem,32,1400000,1230,tail_age,3
free-mem,32,1400000,1132,tail_age,2
free-mem,32,1400000,1380,tail_age,1
free-mem,32,1400000,1252,tail_age,0
free-mem,32,1500000,11,num_slabs,4
free-mem,32,1500000,9,num_slabs,3
free-mem,32,1500000,7,num_slabs,2
free-mem,32,1500000,3,num_slabs,1
free-mem,32,1500000,2,num_slabs,0
free-mem,32,1500000,0,free_slabs,4
free-mem,32,1500000,0,free_slabs,3
free-mem,32,1500000,0,free_slabs,2
free-mem,32,1500000,0,free_slabs,1
free-mem,32,1500000,0,free_slabs,0
free-mem,32,1500000,1356,hits_per_slab,4
free-mem,32,1500000,1173,hits_per_slab,3
free-mem,32,1500000,228,hits_per_slab,2
free-mem,32,1500000,2791,hits_per_slab,1
free-mem,32,1500000,236,hits_per_slab,0
free-mem,32,1500000,206,marginal_hits,4
free-mem,32,1500000,345,marginal_hits,3
free-mem,32,1500000,225,marginal_hits,2
free-mem,32,1500000,889,marginal_hits,1
free-mem,32,1500000,238,marginal_hits,0
free-mem,32,1500000,1271,tail_age,4
free-mem,32,1500000,1214,tail_age,3
free-mem,32,1500000,1130,tail_age,2
free-mem,32,1500000,1392,tail_age,1
free-mem,32,1500000,1253,tail_age,0
free-mem,32,1600000,11,num_slabs,4
free-mem,32,1600000,9,num_slabs,3
free-mem,32,1600000,7,num_slabs,2
free-mem,32,1600000,3,num_slabs,1
free-mem,32,1600000,2,num_slabs,0
free-mem,32,1600000,0,free_slabs,4
free-mem,32,1600000,0,free_slabs,3
free-mem,32,1600000,0,free_slabs,2
free-mem,32,1600000,0,free_slabs,1
free-mem,32,1600000,0,free_slabs,0
free-mem,32,1600000,1367,hits_per_slab,4
free-mem,32,1600000,1184,hits_per_slab,3
free-mem,32,1600000,224,hits_per_slab,2
free-mem,32,1600000,2762,hits_per_slab,1
free-mem,32,1600000,238,hits_per_slab,0
free-mem,32,1600000,221,marginal_hits,4
free-mem,32,1600000,331,marginal_hits,3
free-mem,32,1600000,227,marginal_hits,2
free-mem,32,1600000,870,marginal_hits,1
free-mem,32,1600000,223,marginal_hits,0
free-mem,32,1600000,1289,tail_age,4
free-mem,32,1600000,1217,tail_age,3
free-mem,32,1600000,1129,tail_age,2
free-mem,32,1600000,1393,tail_age,1
free-mem,32,1600000,1255,tail_age,0
free-mem,32,1700000,11,num_slabs,4
free-mem,32,1700000,9,num_slabs,3
free-mem,32,1700000,7,num_slabs,2
free-mem,32,1700000,3,num_slabs,1
free-mem,32,1700000,2,num_slabs,0
free-mem,32,1700000,0,free_slabs,4
free-mem,32,1700000,0,free_slabs,3
free-mem,32,1700000,0,free_slabs,2
free-mem,32,1700000,0,free_slabs,1
free-mem,32,1700000,0,free_slabs,0
free-mem,32,1700000,1356,hits_per_slab,4
free-mem,32,1700000,1192,hits_per_slab,3
free-mem,32,1700000,228,hits_per_slab,2
free-mem,32,1700000,2760,hits_per_slab,1
free-mem,32,1700000,234,hits_per_slab,0
free-mem,32,1700000,195,marginal_hits,4
free-mem,32,1700000,343,marginal_hits,3
free-mem,32,1700000,200,marginal_hits,2
free-mem,32,1700000,932,marginal_hits,1
free-mem,32,1700000,237,marginal_hits,0
free-mem,32,1700000,1273,tail_age,4
free-mem,32,1700000,1226,tail_age,3
free-mem,32,1700000,1131,tail_age,2
free-mem,32,1700000,1387,tail_age,1
free-mem,32,1700000,1255,tail_age,0
free-mem,32,1800000,11,num_slabs,4
free-mem,32,1800000,9,num_slabs,3
free-mem,32,1800000,7,num_slabs,2
free-mem,32,1800000,3,num_slabs,1
free-mem,32,1800000,2,num_slabs,0
free-mem,32,1800000,0,free_slabs,4
free-mem,32,1800000,0,free_slabs,3
free-mem,32,1800000,0,free_slabs,2
free-mem,32,1800000,0,free_slabs,1
free-mem,32,1800000,0,free_slabs,0
free-mem,32,1800000,1362,hits_per_slab,4
free-mem,32,1800000,1170,hits_per_slab,3
free-mem,32,1800000,223,hits_per_slab,2
free-mem,32,1800000,2696,hits_per_slab,1
free-mem,32,1800000,197,hits_per_slab,0
free-mem,32,1800000,200,marginal_hits,4
free-mem,32,1800000,315,marginal_hits,3
free-mem,32,1800000,231,marginal_hits,2
free-mem,32,1800000,797,marginal_hits,1
free-mem,32,1800000,200,marginal_hits,0
free-mem,32,1800000,1282,tail_age,4
free-mem,32,1800000,1213,tail_age,3
free-mem,32,1800000,1128,tail_age,2
free-mem,32,1800000,1385,tail_age,1
free-mem,32,1800000,1252,tail_age,0
free-mem,32,1900000,11,num_slabs,4
free-mem,32,1900000,9,num_slabs,3
free-mem,32,1900000,7,num_slabs,2
free-mem,32,1900000,3,num_slabs,1
free-mem,32,1900000,2,num_slabs,0
free-mem,32,1900000,0,free_slabs,4
free-mem,32,1900000,0,free_slabs,3
free-mem,32,1900000,0,free_slabs,2
free-mem,32,1900000,0,free_slabs,1
free-mem,32,1900000,0,free_slabs,0
free-mem,32,1900000,1357,hits_per_slab,4
free-mem,32,1900000,1180,hits_per_slab,3
free-mem,32,1900000,230,hits_per_slab,2
free-mem,32,1900000,2758,hits_per_slab,1
free-mem,32,1900000,227,hits_per_slab,0
free-mem,32,1900000,206,marginal_hits,4
free-mem,32,1900000,340,marginal_hits,3
free-mem,32,1900000,216,marginal_hits,2
free-mem,32,1900000,846,marginal_hits,1
free-mem,32,1900000,250,marginal_hits,0
free-mem,32,1900000,1277,tail_age,4
free-mem,32,1900000,1212,tail_age,3
free-mem,32,1900000,1131,tail_age,2
free-mem,32,1900000,1386,tail_age,1
free-mem,32,1900000,1253,tail_age,0
free-mem,32,2000000,11,num_slabs,4
free-mem,32,2000000,9,num_slabs,3
free-mem,32,2000000,7,num_slabs,2
free-mem,32,2000000,3,num_slabs,1
free-mem,32,2000000,2,num_slabs,0
free-mem,32,2000000,0,free_slabs,4
free-mem,32,2000000,0,free_slabs,3
free-mem,32,2000000,0,free_slabs,2
free-mem,32,2000000,0,free_slabs,1
free-mem,32,2000000,0,free_slabs,0
free-mem,32,2000000,1364,hits_per_slab,4
free-mem,32,2000000,1167,hits_per_slab,3
free-mem,32,2000000,225,hits_per_slab,2
free-mem,32,2000000,2751,hits_per_slab,1
free-mem,32,2000000,240,hits_per_slab,0
free-mem,32,2000000,211,marginal_hits,4
free-mem,32,2000000,333,marginal_hits,3
free-mem,32,2000000,235,marginal_hits,2
free-mem,32,2000000,864,marginal_hits,1
free-mem,32,2000000,226,marginal_hits,0
free-mem,32,2000000,1277,tail_age,4
free-mem,32,2000000,1212,tail_age,3
free-mem,32,2000000,1130,tail_age,2
free-mem,32,2000000,1390,tail_age,1
free-mem,32,2000000,1255,tail_age,0
free-mem,32,2100000,11,num_slabs,4
free-mem,32,2100000,9,num_slabs,3
free-mem,32,2100000,7,num_slabs,2
free-mem,32,2100000,3,num_slabs,1
free-mem,32,2100000,2,num_slabs,0
free-mem,32,2100000,0,free_slabs,4
free-mem,32,2100000,0,free_slabs,3
free-mem,32,2100000,0,free_slabs,2
free-mem,32,2100000,0,free_slabs,1
free-mem,32,2100000,0,free_slabs,0
free-mem,32,2100000,1366,hits_per_slab,4
free-mem,32,2100000,1181,hits_per_slab,3
free-mem,32,2100000,223,hits_per_slab,2
free-mem,32,2100000,2756,hits_per_slab,1
free-mem,32,2100000,216,hits_per_slab,0
free-mem,32,2100000,177,marginal_hits,4
free-mem,32,2100000,348,marginal_hits,3
free-mem,32,2100000,215,marginal_hits,2
free-mem,32,2100000,842,marginal_hits,1
free-mem,32,2100000,227,marginal_hits,0
free-mem,32,2100000,1298,tail_age,4
free-mem,32,2100000,1218,tail_age,3
free-mem,32,2100000,1130,tail_age,2
free-mem,32,2100000,1390,tail_age,1
free-mem,32,2100000,1253,tail_age,0
free-mem,32,2200000,11,num_slabs,4
free-mem,32,2200000,9,num_slabs,3
free-mem,32,2200000,7,num_slabs,2
free-mem,32,2200000,3,num_slabs,1
free-mem,32,2200000,2,num_slabs,0
free-mem,32,2200000,0,free_slabs,4
free-mem,32,2200000,0,free_slabs,3
free-mem,32,2200000,0,free_slabs,2
free-mem,32,2200000,0,free_slabs,1
free-mem,32,2200000,0,free_slabs,0
free-mem,32,2200000,1362,hits_per_slab,4
free-mem,32,2200000,1179,hits_per_slab,3
free-mem,32,2200000,233,hits_per_slab,2
free-mem,32,2200000,2729,hits_per_slab,1
free-mem,32,2200000,247,hits_per_slab,0
free-mem,32,2200000,196,marginal_hits,4
free-mem,32,2200000,338,marginal_hits,3
free-mem,32,2200000,242,marginal_hits,2
free-mem,32,2200000,832,marginal_hits,1
free-mem,32,2200000,252,marginal_hits,0
free-mem,32,2200000,1293,tail_age,4
free-mem,32,2200000,1222,tail_age,3
free-mem,32,2200000,1132,tail_age,2
free-mem,32,2200000,1390,tail_age,1
free-mem,32,2200000,1255,tail_age,0
free-mem,32,2300000,11,num_slabs,4
free-mem,32,2300000,9,num_slabs,3
free-mem,32,2300000,7,num_slabs,2
free-mem,32,2300000,3,num_slabs,1
free-mem,32,2300000,2,num_slabs,0
free-mem,32,2300000,0,free_slabs,4
free-mem,32,2300000,0,free_slabs,3
free-mem,32,2300000,0,free_slabs,2
free-mem,32,2300000,0,free_slabs,1
free-mem,32,2300000,0,free_slabs,0
free-mem,32,2300000,1372,hits_per_slab,4
free-mem,32,2300000,1176,hits_per_slab,3
free-mem,32,2300000,232,hits_per_slab,2
free-mem,32,2300000,2710,hits_per_slab,1
free-mem,32,2300000,240,hits_per_slab,0
free-mem,32,2300000,186,marginal_hits,4
free-mem,32,2300000,327,marginal_hits,3
free-mem,32,2300000,242,marginal_hits,2
free-mem,32,2300000,827,marginal_hits,1
free-mem,32,2300000,247,marginal_hits,0
free-mem,32,2300000,1299,tail_age,4
free-mem,32,2300000,1213,tail_age,3
free-mem,32,2300000,1132,tail_age,2
free-mem,32,2300000,1384,tail_age,1
free-mem,32,2300000,1255,tail_age,0
free-mem,32,2400000,11,num_slabs,4
free-mem,32,2400000,9,num_slabs,3
free-mem,32,2400000,7,num_slabs,2
free-mem,32,2400000,3,num_slabs,1
free-mem,32,2400000,2,num_slabs,0
free-mem,32,2400000,0,free_slabs,4
free-mem,32,2400000,0,free_slabs,3
free-mem,32,2400000,0,free_slabs,2
free-mem,32,2400000,0,free_slabs,1
